,State,GROC16,GROCPTH16,SUPERC16,SUPERCPTH16,CONVS16,CONVSPTH16,SPECS16,SPECSPTH16,WICS16,WICSPTH16,FFR16,FFRPTH16,FSR16,FSRPTH16,SNAP_PART_RATE16,SNAP_OAPP16,SNAP_CAP16,SNAP_BBCE16,SNAP_REPORTSIMPLE16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFAC16,RECFACPTH16
12,ID,21.13913591177292,0.15712294464114848,5.228274497453845,0.024995328630448087,52.75328029092119,0.3808815679583388,15.576671043953105,0.0714297589058303,15.99285641962016,0.12848738199097387,125.36467351583251,0.6447483524743797,130.96973492658637,0.7448249474750765,84.49900000000001,0.0,0.0,1.0,1.0,13.975377446302758,135695.44903533417,25.6735312941094,2.9122234646809915,18.78092790549815,0.09405875954540177
13,IL,632.1639795913196,0.21580578387969584,25.039166688430832,0.01729553739636334,610.4433918730916,0.3342016711142435,186.881414403096,0.06654801949556763,407.5948118524303,0.18329613491447658,2064.1991154523366,0.7904688927844945,1810.2124112655479,0.7457490089711715,100.0,1.0,0.0,1.0,1.0,14.794136509940468,81727.64217738301,21.29037275137464,2.0721291556566515,248.20516563049748,0.10924948083991252
14,IN,43.94331169919727,0.15027384239272726,6.633710086496343,0.024726120750650046,102.97229180334986,0.3977753469472928,15.11757523806997,0.052000011703970866,24.777424930773982,0.1023616439834618,224.6605843146383,0.7253570732567003,200.42585037049187,0.6888816566119587,79.70000000000002,0.5,0.0,0.0,1.0,14.937363760665914,155114.02040748575,26.713016399062916,2.646562191183788,27.115997451662388,0.09060153321526336
15,IA,21.80534232075318,0.1913079275699459,3.1384951393534357,0.02395884276899915,56.436474087461306,0.5052617351088846,8.06978576115538,0.05590069634655668,22.959435593439522,0.20723006248675244,100.79793408551353,0.6356159698133305,107.31237872331593,0.789575008908108,87.50500000000001,1.0,0.0,1.0,1.0,6.969681508782782,29007.808000334673,23.859641993620095,2.443783660179794,18.994561248617003,0.11593814946190434
16,KS,35.88499218380476,0.17566657724750495,6.527099750177157,0.02613565622029511,59.681460932935295,0.33897724343705155,14.82835937529519,0.06326956338954468,20.14347362546305,0.1293235370910096,194.66289373375062,0.7071436455316202,179.49142863423882,0.7358706038493475,76.875,1.0,0.0,0.0,1.0,14.247006364866033,129855.40879310855,22.38711509941432,2.3798812630690236,31.774402381371935,0.09390457373579816
17,KY,37.986742234346174,0.1794348231864203,4.474343933131887,0.023219606392385347,73.10520660380526,0.46455529261761097,11.363959588385367,0.0371944558616874,26.144296294760817,0.16493065192598216,165.72058697286687,0.7166803992605552,154.29619111587076,0.6154779126122718,76.15099999999998,1.0,1.0,1.0,1.0,17.223974738106726,117410.02639280059,30.88798834350241,3.028461555607434,22.462765215584866,0.07779481750580582
18,LA,46.17115630641174,0.20162525725159702,4.919337396849012,0.02539820234710867,103.1852781456175,0.5596077754654027,15.497551950904352,0.06613748222930392,23.094802087492496,0.12109273817700887,168.79311190272358,0.7174970166179331,156.39661452070928,0.6169470578914288,83.536,1.0,1.0,0.0,1.0,22.73402910229133,204783.13835080777,30.090613955383386,3.430286365485328,22.24653334658625,0.09174070549338005
19,ME,36.61621112087549,0.27518906579591695,2.5640618310462155,0.01728412283760337,86.83193928059067,0.6644529289039883,17.27952560144813,0.10980220585886268,22.50002703981613,0.18402097422481267,114.05012205472558,0.7180107186467121,170.10393804877683,1.0985182171809986,90.37900000000002,1.0,0.0,1.0,1.0,11.199626217646387,64481.01093051706,24.6253338654714,1.8960844980262448,19.34801895791553,0.11427068397647235
20,MD,127.6633317745523,0.20136491024795908,4.722977631492173,0.010132385894678695,194.28222579942485,0.3395722080572739,40.359441250275616,0.06972313873653686,86.4288726216099,0.1460524544603779,524.6702691828324,0.8465402159409998,328.08543885348325,0.5844672900554263,90.88099999999999,1.0,1.0,1.0,1.0,17.49293455432353,126404.63067609775,28.64797266229721,2.739616930771748,73.87598131594426,0.11430815462585225
21,MA,162.51690135191478,0.2026942337922427,5.705029810920621,0.007178448901524197,362.8279566048864,0.4476960164016694,71.86017551657466,0.08925892695374144,114.02244953209937,0.14547272271124162,652.5845539319973,0.7510033614131022,753.986570069654,0.9352810688583705,90.628,1.0,1.0,1.0,1.0,11.759315148460022,79003.3356396039,24.45112895684937,1.8610425463643472,153.99803223605198,0.16986843244411212
