FIPS,County,Population,Area (km^2),Latitude,Longitude
05077,Lee,10424,1604.503,34.77975,-90.779288
05079,Lincoln,14134,1481.952,33.957665,-91.727624
05081,Little River,13171,1462.737,33.699497,-94.229774
05083,Logan,22353,1894.731,35.21855,-93.720563
05085,Lonoke,68356,2079.347,34.755114,-91.894132
05087,Madison,15717,2168.028,36.012545,-93.724053
05089,Marion,16653,1658.42,36.266656,-92.678588
05091,Miller,43462,1651.504,33.305505,-93.901509
05093,Mississippi,46480,2382.302,35.766943,-90.052209
05095,Monroe,8149,1609.154,34.679513,-91.203314
05097,Montgomery,9487,2072.74,34.545652,-93.664147
05099,Nevada,8997,1607.447,33.666699,-93.305072
05101,Newton,8330,2132.042,35.910063,-93.215084
05103,Ouachita,26120,1915.95,33.591158,-92.878418
05105,Perry,10445,1451.775,34.946363,-92.926877
05107,Phillips,21757,1883.814,34.425842,-90.848386
05109,Pike,11291,1590.588,34.158191,-93.658659
05111,Poinsett,24583,1977.74,35.568981,-90.680595
05113,Polk,20662,2233.765,34.490915,-94.230884
05115,Pope,61754,2151.697,35.455297,-93.031535
05117,Prairie,8715,1749.833,34.828225,-91.5572
05119,Pulaski,382748,2091.839,34.773988,-92.316515
05121,Randolph,17969,1699.134,36.341299,-91.028441
05123,St. Francis,28258,1664.099,35.014438,-90.742199
05125,Saline,107118,1891.96,34.648525,-92.674463
05127,Scott,11233,2325.999,34.858869,-94.063641
05129,Searcy,8195,1731.434,35.90966,-92.699351
05131,Sebastian,125744,1414.549,35.196981,-94.274989
05133,Sevier,17058,1505.501,33.994608,-94.24329
05135,Sharp,17264,1570.662,36.173399,-91.471069
05137,Stone,12394,1578.42,35.856989,-92.140494
05139,Union,41639,2732.954,33.168219,-92.598145
05141,Van Buren,17295,1875.888,35.582959,-92.515977
05143,Washington,203065,2466.729,35.971209,-94.218417
05145,White,77076,2699.144,35.254722,-91.753158
05147,Woodruff,7260,1538.489,35.189071,-91.244418
05149,Yell,22185,2457.528,34.997713,-93.408303
06001,Alameda,1510271,2127.231,37.648081,-121.913304
06003,Alpine,1175,1924.829,38.61761,-119.798999
06005,Amador,38091,1569.42,38.44355,-120.653856
06007,Butte,220000,4343.749,39.665959,-121.601919
06009,Calaveras,45578,2685.63,38.187844,-120.555115
06011,Colusa,21419,2994.96,39.177739,-122.237563
06013,Contra Costa,1049025,2081.754,37.919479,-121.951543
06015,Del Norte,28610,3185.02,41.749903,-123.980998
06017,El Dorado,181058,4626.64,38.785532,-120.534398
06019,Fresno,930450,15568.942,36.761006,-119.655019
06021,Glenn,28122,3436.857,39.602546,-122.4017
06023,Humboldt,134623,10495.301,40.706673,-123.925818
06025,Imperial,174528,11607.6,33.040816,-115.355395
06027,Inyo,18546,26487.562,36.561977,-117.403927
06029,Kern,839631,21141.142,35.346629,-118.729506
06031,Kings,152982,3604.051,36.072478,-119.81553
06033,Lake,64665,3443.19,39.094802,-122.746757
06035,Lassen,34895,12225.053,40.721089,-120.629931
06037,Los Angeles,9818605,12304.883,34.196398,-118.261862
06039,Madera,150865,5576.94,37.210039,-119.749852
06041,Marin,252409,2145.006,38.051817,-122.745974
06043,Mariposa,18251,3788.688,37.570034,-119.91286
06045,Mendocino,87841,10044.339,39.432388,-123.442881
06047,Merced,255793,5124.315,37.194806,-120.722802
06049,Modoc,9686,10886.752,41.592919,-120.71837
06051,Mono,14202,8111.523,37.915836,-118.875167
06053,Monterey,415057,9767.417,36.240107,-121.315573
06055,Napa,136484,2042.417,38.507351,-122.325995
06057,Nevada,98764,2522.132,39.295191,-120.773446
06059,Orange,3010232,2455.478,33.675687,-117.777207
06061,Placer,348432,3891.341,39.062032,-120.722718
06063,Plumas,20007,6768.746,39.99517,-120.829516
06065,Riverside,2189641,18915.77,33.729828,-116.002239
06067,Sacramento,1418788,2574.493,38.450011,-121.340441
06069,San Benito,55269,3601.297,36.610702,-121.085296
06071,San Bernardino,2035210,52071.258,34.85722,-116.181197
06073,San Diego,3095313,11721.469,33.023604,-116.776117
06075,San Francisco,805235,600.59,37.727239,-123.032229
06077,San Joaquin,685306,3694.615,37.935034,-121.272237
06079,San Luis Obispo,269637,9364.223,35.385227,-120.44754
06081,San Mateo,718451,1919.076,37.414664,-122.371542
