,State,County,FIPS,PERPOV10,METRO13,SNAPSPTH17,REDEMP_SNAPS17,PCT_SNAP17,PC_SNAPBEN17,PCT_NSLP17,PCT_SBP17,PCT_SFSP17,PCT_WIC17,PCT_CACFP17,PCT_OBESE_ADULTS17,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFRPTH16,FSRPTH16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFACPTH16,POVRATE15,MEDHHINC15,FDPIR15,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,FOODINSEC_15_17,VLFOODSEC_15_17,PopulationEstimate2017,LogPopulationEstimate2017
292,CO,Phillips,8095,0,0,-0.5620381888711558,-1.2475118286902818,-0.302443839591341,-0.8181757864228412,-0.6469247008568839,-1.0354714759409618,0.3623788328770172,-1.1937804224093664,-1.0035753798987668,0.04099390991485569,-0.5102881761222893,-0.813096324736329,0.2343585465213519,-0.027860543929404083,-0.4499307829501461,-0.6005661764449207,0.8894437479305977,-1.5849320238410882,-0.7648847712879582,-0.9786945836909038,-1.3237886551554254,0.12848377970346378,-1.01861970039923,0.3741717131477485,-0.16304374452966952,-0.6017484503581889,-0.5974044357598268,-0.2871338924361323,0.9416218821308584,1.0443409438637905,-0.1985397791817,0.17469030546699693
365,FL,Okaloosa,12091,0,1,0.05144780094134558,0.5056541496449293,-1.1787759971643492,0.2550628576457405,-0.8872936031262917,-0.4891159144417111,0.2235744181453804,-1.7167723377207929,-0.5257692039239755,-0.5297277398279451,-0.5122757041272564,-0.15504737528242973,0.1303252770132424,0.34379062255151344,-0.4912334254717392,0.8368866143368491,-0.2086030127146021,-0.17752259109675914,0.33737607732366837,-1.777769847246164,-1.485975737745871,0.5344055661331721,-0.1644102452779268,0.1270651415146229,-0.16304374452966952,0.35309206030598506,0.19930441742263771,-0.22576824358060316,-1.3835857495712456,-1.4207490727827694,0.09310230249321035,1.0308635377525166
3045,WV,Wood,54107,0,1,-1.5453459976640476,-0.2868301624231004,-2.2791872967224522,-1.219767971003309,-1.0862511570502302,-1.571301867757042,-0.14202357028001422,-0.9538270840031605,-0.5474385963285137,-0.920221500178283,-0.7618528863863412,0.35907994380134445,-0.8318164077568954,0.6636447667181504,-0.7410633551733109,0.4089532600658647,0.20958588877018666,-4.626079245392598e-05,-0.1307218371457696,-1.2871831739177493,-0.7041774627907635,0.11414004130097488,0.5966127238301437,-0.3373527139531388,-0.16304374452966952,0.7145554400288895,0.6649543427421496,-0.6458520011504488,0.16655267156348985,0.0014182445133223637,-0.1962004202539769,0.18845526230910764
85,AK,North Slope,2185,0,0,-0.9259298007049988,0.905407309201289,-1.535730991819408,-0.2588802858642262,0.6334765299750738,-0.6413265970593326,0.23012809332585124,-0.6967863189050428,0.4625460112413678,0.16114583617649764,-0.4006734987214756,0.6865303730999222,-0.7759832860019305,0.45736688824283184,-0.6244378261186124,1.1093528039767626,-0.34862775980325944,0.00024369130429248513,0.9142555412509398,-1.039184072029209,-0.6968410115798552,0.3310864319421057,-0.31972105529998196,0.21815127948554894,-0.16304374452966952,0.06480817449267297,0.10095550117478223,-0.3915485445996942,0.21214497806745333,0.4754740169453531,0.22378808146195647,1.218590770164482
178,AR,Sharp,5135,0,0,-0.7689248764581257,-0.20037776387649614,-1.1787759971643492,-0.6420304050921152,-0.8872936031262917,-0.4891159144417111,0.2235744181453804,-1.7167723377207929,-0.5257692039239755,-0.5297277398279451,-0.0008615519155153479,-0.813096324736329,-0.7551611427859586,0.8842207065812063,-0.5116929510498034,-0.515347146243998,0.24291815622810614,-4.626079245392598e-05,-0.3903683582047528,-1.777769847246164,-1.485975737745871,-0.9274762588447475,-1.298179158438929,1.2978256349009258,-0.16304374452966952,-0.62222225635788,-0.6432323721031378,-0.32035657128007144,-1.3835857495712456,-1.4207490727827694,-0.26113790093829525,-0.36826120658285527
1637,MT,Prairie,30079,0,0,0.28694255343214564,-0.6156687154880423,0.3032517417249834,1.1571130459208965,0.5422236273400819,1.0303505461108917,-1.2069723932139265,1.8677163029414896,1.5926493078950494,0.3413737255689616,0.44554200858097026,-0.813096324736329,-0.27953899235670976,-0.7386764743206182,0.6647748498707233,0.8646760860811237,0.13186010052178834,-4.626079245392598e-05,-0.36349438144985,1.0658035587909394,2.136925615329989,-0.9274762588447475,0.8606411008676373,-0.9523663175328315,-0.16304374452966952,-0.8537866254778294,-0.834619286393261,-0.36641259083899475,0.5312911235951928,0.6650963259181655,-0.29372976543454515,-1.0712598353653628
2569,TX,Comanche,48093,0,0,1.398607931345162,-1.800320883008358,0.3032517417249834,0.619373808292751,0.5422236273400819,1.0303505461108917,-1.2069723932139265,1.8677163029414896,1.5926493078950494,0.3413737255689616,0.007430468668766733,-0.813096324736329,2.0730420166208643,-0.7386764743206182,-2.0056044830359323e-05,-1.9022489163515892,-0.06959041726471292,-4.626079245392598e-05,-0.00017685168429972155,1.0658035587909394,2.136925615329989,-0.9274762588447475,1.3576356929382136,-1.260925670250342,-0.16304374452966952,3.916478803001045,7.026513607118149,0.4706564565511843,0.5312911235951928,0.6650963259181655,-0.2980751471655019,-1.2615757540927486
2402,SD,Lincoln,46083,0,1,2.9082887622588975,-1.7698056728951705e-05,0.849408021204656,2.5461653527547785,0.7373539991122273,0.8805198032457455,-0.04290625999616554,0.3243855221566701,-0.15799263588886872,-0.07915801634678624,-1.1266415131635605,-0.813096324736329,4.098766385542603,-0.7386764743206182,-2.0056044830359323e-05,-1.9022489163515892,-0.28370720373133956,-4.626079245392598e-05,-0.00017685168429972155,0.3074583308733955,0.3540518907462648,-0.9274762588447475,2.6777775781256823,-1.592560177920487,-0.16304374452966952,2.3126925138435985,3.985336380162911,3.523483656056541,0.07536805855556453,-0.6622598368915199,-0.30642356541848026,-1.9293619260043735
2378,SD,Davison,46035,0,0,-0.6205454973067314,0.6624040770694216,0.12553273779503596,0.5702559410042632,-0.8670933321220885,-0.08007997482388739,0.14209485531761087,0.25234707359107356,-0.5029476428768425,0.07103189148026672,-0.39765532570819456,-0.11035962445034707,-0.14232538703416622,-0.5284984477868891,-0.14885874031953827,-0.20874042326471787,-0.36623700732810777,1.3836069720145872,0.5638709902512773,0.6287346534001781,0.21639709398454893,-0.0948583100419494,0.798516776858815,-0.6446166193750626,-0.16304374452966952,-0.9624866979912741,-0.758717180801908,0.7411004316896288,-0.19818578046821228,0.0014182445133223637,-0.12083041978158411,0.5261144269384225
2718,TX,Refugio,48391,0,0,-0.20642326648571194,0.7708966389501226,0.4729656608104506,0.35158175443568457,-0.841650564857429,-1.026770300801709,-0.3509572897931447,-0.9249329050596052,-0.4904713267889192,-0.07915801634678624,-0.5527058549016307,-0.02271178792397062,-0.6151473279669588,0.4432831985605783,-0.49861114207805324,0.26221612614173123,0.040001075746994595,-0.2401435287862557,0.30770147641296514,-0.3469096663587518,-1.0854478360689672,0.12604708423843894,-0.31972105529998196,-0.18643310401731109,-0.16304374452966952,-0.43951912095221,-0.3283850740183943,0.3564712608619396,-0.3349626999801011,-1.0415044548371448,0.02427590035651536,0.9057925542500682
