,State,County,Population_Estimate_2015,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_SNAP15,LACCESS_CHILD15,LACCESS_SENIORS15,LACCESS_WHITE15,LACCESS_BLACK15,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_MULTIR15,FOODINSEC_15_17,VLFOODSEC_15_17,MEDHHINC15,POVRATE15,GROC15,SUPERC15,CONVS15,SPECS15,WICS15,FFR15,SNAPS15
2417,SD,Shannon,2348,10779.63654,8438.376428,473.2996948,1137.702428,4260.146961,626.7970131,311.169839,2.999999947,200.2628476,9.999999461,10348.13834,105.3283696,11.4,4.3,48607.26259,16.26303378,2,0,9.150551857,0,5.050183952,2,76.78432946
2418,SD,Spink,6554,2796.762151,800.3537252,37.28454945,54.97492602,692.4963563,470.8741952,2751.122244,2.999999938,20.63990486,0,11.99999958,30.63990429,11.4,4.3,46504,12.1,2,0,2.949816048,1,1,4.100367905,5.750306587
2419,SD,Stanley,2975,570.819394,164.2152146,14.00854407,16.20571008,147.5456851,84.00628855,526.9454451,0.443321037,0.113457015,0.090837007,31.03597699,12.30381678,11.4,4.3,62015,8.3,-0.050183952,0,3,0,1,2.050183952,2.262545988
2420,SD,Sully,1402,1373,242.1680122,15.76959237,14.97545008,310,263,1326.000001,0.999999998,12.00000003,0,15.99999992,30.00000007,11.4,4.3,58230,6.9,1,0,1,1,1,0,2.050183952
2421,SD,Todd,10034,1990.288423,1371.126371,498.2802556,248.1183637,825.2459354,144.4540905,272.0171802,2.555999701,43.51149165,5.690598533,1667.269524,42.75512674,11.4,4.3,29193,44,3,0,4.949816048,0,6.050183952,2.050183952,11.86230072
2422,SD,Tripp,5418,1510.381507,499.0097283,34.61187922,39.44085569,372.222299,293.9859932,1352.250177,0,5.99999983,2.000000002,137.9013338,18.22999752,11.4,4.3,48289,17.7,3,0,5,1,1.949816048,4,11.02509198
2423,SD,Turner,8132,190.9513743,44.26348376,92.82845517,7.092040303,47.71258301,22.60928217,188.8803575,0,0.79375975,0,0.071016708,2.000000091,11.4,4.3,54134,10,3,0,9.100367905,0,4,0.949816048,3.949816048
2424,SD,Union,14918,2887.046731,327.2260629,102.0033952,47.31429617,756.6648199,355.2329099,2677.221115,29.31265795,70.18464232,59.06236422,30.48354897,89.91144891,11.4,4.3,74439,6.3,3,0,10.84944814,0,4,6,7.345879321
2425,SD,Walworth,5405,1560.22831,483.436804,19.28609458,37.98096638,317.3633794,433.4159641,1472.63802,0,9.882086486,0,62.27017196,25.32011991,11.4,4.3,44480,14.8,3,0,2.949816048,2,2.849448143,8.100367905,9.40024527
2426,SD,Yankton,22684,6096.682299,2150.235573,215.7309773,392.9159137,1367.360448,953.7782213,5725.171264,34.58375026,155.7246287,19.67793833,162.9232057,151.4905667,11.4,4.3,48991,13.6,1,1,19.15055186,4.150551857,1.949816048,19.1003679,14.62576647
