FIPS,County,NEAREST_1,NEAREST_2,NEAREST_3,NEAREST_4,NEAREST_5,NEAREST_6,NEAREST_7,NEAREST_8,NEAREST_9,NEAREST_10,NEAREST_11,NEAREST_12,NEAREST_13,NEAREST_14,NEAREST_15,NEAREST_16,NEAREST_17,NEAREST_18,NEAREST_19,NEAREST_20
2050,Bethel,2050,47161,38105,19091,37009,19105,35039,37183,16077,48177,47091,47145,35021,48361,40083,5007,38099,5031,36077,31179
2060,Bristol Bay,2060,30087,51139,13053,21081,46019,48251,46029,45003,42045,28149,48269,41047,13197,5081,20039,26137,30023,48061,1057
2068,Denali,2068,13247,17017,42055,55051,1047,48441,48181,30037,48079,20135,27167,13089,32021,39109,54015,18125,28083,18027,45013
2070,Dillingham,2070,40127,6035,48333,46073,29169,13147,17203,48437,21093,1031,39033,31029,28145,27109,19071,27157,22059,39117,53037
2090,Fairbanks North Star,2090,27003,54041,13159,22119,13035,48417,30057,18055,27155,16049,20051,39047,24021,54021,41061,4011,48085,35035,24043
2100,Haines,2100,49013,45051,18035,13267,48401,13233,5079,20107,54011,17191,54043,40067,31129,55087,13279,1023,48431,13143,48249
2105,Hoonah-Angoon,2105,41055,48503,41021,29175,48379,49039,6045,20123,20141,5139,13319,54077,39131,20103,48499,30003,24031,54091,6061
2110,Juneau,2110,27053,20117,28083,18027,29159,55029,45053,54007,13151,17137,13217,48079,46107,39057,48181,53059,1047,42055,6007
2122,Kenai Peninsula,2122,21227,47047,37099,29067,17011,41011,19131,16019,51067,25007,39123,40091,6049,22003,41045,12131,39143,37049,19085
2130,Ketchikan Gateway,2130,31103,47009,36057,26091,51640,22019,44007,37195,31039,22057,47147,19045,31021,5093,51035,47125,35055,40081,29209
2150,Kodiak Island,2150,51171,23021,27097,26043,13215,8037,17045,20041,48037,12027,39115,29049,21077,29219,18155,29025,20039,18115,34015
2158,Kusilvak,2158,35037,51185,21033,9011,20119,47139,38053,37163,48241,13039,40027,48413,42023,39039,31023,19139,47011,36043,39171
2164,Lake and Peninsula,2164,26109,45005,54017,20161,41067,27145,17035,6115,17117,48063,41051,54033,39163,27059,13303,13207,6057,13169,24027
2170,Matanuska-Susitna,2170,39173,51750,40063,47157,37103,20033,51121,21031,31055,37043,30089,31177,26121,49025,19195,17073,27119,48319,48321
2180,Nome,2180,29027,17139,8041,28105,48215,41071,13301,29021,8045,18079,1081,13189,39045,12115,24025,49015,24015,6091,18077
2185,North Slope,2185,34019,13273,23003,21067,51109,46011,5109,12097,39019,1133,55053,6013,26103,8057,8011,48495,18171,45039,56029
2188,Northwest Arctic,2188,31167,22109,26059,9015,37101,56025,12031,40007,29009,5111,40109,31157,47121,51077,42083,9013,48285,21221,29119
2195,Petersburg,2195,48131,20003,24037,55135,30059,28061,17081,45041,5025,56003,31181,21019,38045,42129,13309,48173,6009,8091,49051
