,CTYNAME,POPESTIMATE2017
411,Brooks County,15587
412,Bryan County,37060
413,Bulloch County,76149
414,Burke County,22522
415,Butts County,24059
416,Calhoun County,6455
417,Camden County,53044
418,Candler County,10797
419,Carroll County,117812
420,Catoosa County,66550
421,Charlton County,12715
422,Chatham County,290501
423,Chattahoochee County,10343
424,Chattooga County,24770
425,Cherokee County,247573
426,Clarke County,127064
427,Clay County,2962
428,Clayton County,285153
429,Clinch County,6727
430,Cobb County,755754
431,Coffee County,43014
432,Colquitt County,45835
433,Columbia County,151579
434,Cook County,17277
435,Coweta County,143114
436,Crawford County,12295
437,Crisp County,22736
438,Dade County,16285
439,Dawson County,24379
440,Decatur County,26716
441,DeKalb County,753253
442,Dodge County,20730
443,Dooly County,13737
444,Dougherty County,89502
445,Douglas County,143882
446,Early County,10296
447,Echols County,3936
448,Effingham County,59982
449,Elbert County,19109
450,Emanuel County,22530
451,Evans County,10775
452,Fannin County,25322
453,Fayette County,112549
454,Floyd County,97613
455,Forsyth County,227967
456,Franklin County,22820
457,Fulton County,1041423
458,Gilmer County,30674
459,Glascock County,3062
460,Glynn County,85282
461,Gordon County,57089
462,Grady County,24819
463,Greene County,17281
464,Gwinnett County,920260
465,Habersham County,44567
466,Hall County,199335
467,Hancock County,8561
468,Haralson County,29256
469,Harris County,33915
470,Hart County,25794
471,Heard County,11730
472,Henry County,225813
473,Houston County,153479
474,Irwin County,9410
475,Jackson County,67519
476,Jasper County,13964
477,Jeff Davis County,15025
478,Jefferson County,15648
479,Jenkins County,8767
480,Johnson County,9788
481,Jones County,28470
482,Lamar County,18599
483,Lanier County,10425
484,Laurens County,47330
485,Lee County,29470
486,Liberty County,61386
487,Lincoln County,7880
488,Long County,19014
489,Lowndes County,115489
490,Lumpkin County,32873
491,McDuffie County,21498
492,McIntosh County,14106
493,Macon County,13314
494,Madison County,29302
495,Marion County,8450
496,Meriwether County,21049
497,Miller County,5838
498,Mitchell County,22292
499,Monroe County,27113
500,Montgomery County,9031
501,Morgan County,18412
502,Murray County,39782
503,Muscogee County,194058
504,Newton County,108078
505,Oconee County,38028
506,Oglethorpe County,14877
507,Paulding County,159445
508,Peach County,27099
509,Pickens County,31588
510,Pierce County,19307
511,Pike County,18217
512,Polk County,42085
513,Pulaski County,11201
514,Putnam County,21730
515,Quitman County,2358
516,Rabun County,16602
517,Randolph County,7075
518,Richmond County,201800
519,Rockdale County,90312
520,Schley County,5213
521,Screven County,13953
522,Seminole County,8292
523,Spalding County,65380
524,Stephens County,25890
525,Stewart County,5985
526,Sumter County,29847
527,Talbot County,6249
528,Taliaferro County,1628
529,Tattnall County,25334
530,Taylor County,8142
531,Telfair County,15989
532,Terrell County,8729
533,Thomas County,44779
534,Tift County,40598
535,Toombs County,26999
536,Towns County,11506
537,Treutlen County,6740
538,Troup County,69786
539,Turner County,7961
540,Twiggs County,8174
541,Union County,23459
542,Upson County,26135
543,Walker County,68939
544,Walton County,91600
545,Ware County,35871
546,Warren County,5303
547,Washington County,20313
548,Wayne County,29817
549,Webster County,2605
550,Wheeler County,7952
551,White County,29453
552,Whitfield County,104658
553,Wilcox County,8800
554,Wilkes County,9892
555,Wilkinson County,8959
556,Worth County,20533
558,Hawaii County,200381
559,Honolulu County,988650
560,Kalawao County,88
561,Kauai County,72159
562,Maui County,166260
564,Ada County,456849
565,Adams County,4147
566,Bannock County,85269
567,Bear Lake County,6028
568,Benewah County,9184
569,Bingham County,45927
570,Blaine County,22024
571,Boise County,7290
572,Bonner County,43560
573,Bonneville County,114595
574,Boundary County,11922
575,Butte County,2602
576,Camas County,1102
577,Canyon County,216699
578,Caribou County,7034
579,Cassia County,23664
580,Clark County,873
581,Clearwater County,8546
582,Custer County,4172
583,Elmore County,26823
584,Franklin County,13564
585,Fremont County,13094
586,Gem County,17379
587,Gooding County,15124
588,Idaho County,16369
589,Jefferson County,28446
590,Jerome County,23627
591,Kootenai County,157637
592,Latah County,39333
593,Lemhi County,7875
594,Lewis County,3887
595,Lincoln County,5318
596,Madison County,39141
597,Minidoka County,20729
598,Nez Perce County,40385
599,Oneida County,4427
600,Owyhee County,11628
601,Payette County,23215
602,Power County,7600
603,Shoshone County,12542
604,Teton County,11381
605,Twin Falls County,85124
606,Valley County,10687
607,Washington County,10121
609,Adams County,66234
610,Alexander County,6315
611,Bond County,16948
612,Boone County,53513
613,Brown County,6716
614,Bureau County,33243
615,Calhoun County,4833
616,Carroll County,14518
617,Cass County,12505
618,Champaign County,209399
619,Christian County,33102
620,Clark County,15767
621,Clay County,13269
622,Clinton County,37614
623,Coles County,51979
624,Cook County,5211263
625,Crawford County,18961
626,Cumberland County,10908
627,DeKalb County,104733
628,De Witt County,15942
629,Douglas County,19748
630,DuPage County,930128
631,Edgar County,17328
632,Edwards County,6486
633,Effingham County,34132
634,Fayette County,21784
635,Ford County,13280
636,Franklin County,39041
637,Fulton County,35110
638,Gallatin County,5080
639,Greene County,13174
640,Grundy County,50586
641,Hamilton County,8194
642,Hancock County,18020
643,Hardin County,4046
644,Henderson County,6795
645,Henry County,49328
646,Iroquois County,27876
647,Jackson County,58284
648,Jasper County,9578
649,Jefferson County,38179
650,Jersey County,21941
651,Jo Daviess County,21594
652,Johnson County,12900
653,Kane County,534667
654,Kankakee County,109605
655,Kendall County,126218
656,Knox County,50638
657,Lake County,703520
658,LaSalle County,110067
659,Lawrence County,16168
660,Lee County,34406
661,Livingston County,36518
662,Logan County,29245
663,McDonough County,30823
664,McHenry County,309122
665,McLean County,172290
666,Macon County,105801
667,Macoupin County,45446
668,Madison County,265428
669,Marion County,37902
670,Marshall County,11730
671,Mason County,13715
672,Massac County,14344
673,Menard County,12245
674,Mercer County,15618
675,Monroe County,34097
676,Montgomery County,28790
677,Morgan County,33798
678,Moultrie County,14688
679,Ogle County,51063
680,Peoria County,183011
681,Perry County,21285
682,Piatt County,16445
683,Pike County,15821
684,Pope County,4325
685,Pulaski County,5509
686,Putnam County,5727
687,Randolph County,32423
688,Richland County,15901
689,Rock Island County,144808
690,St. Clair County,262479
691,Saline County,24102
692,Sangamon County,196452
693,Schuyler County,7035
694,Scott County,5002
695,Shelby County,21719
696,Stark County,5434
697,Stephenson County,45054
698,Tazewell County,133526
699,Union County,17000
700,Vermilion County,77909
701,Wabash County,11489
702,Warren County,17167
703,Washington County,14030
704,Wayne County,16495
705,White County,13938
706,Whiteside County,56118
707,Will County,692661
708,Williamson County,67328
709,Winnebago County,284778
710,Woodford County,38726
712,Adams County,35491
713,Allen County,372877
714,Bartholomew County,82040
715,Benton County,8613
716,Blackford County,11976
717,Boone County,65875
718,Brown County,15035
719,Carroll County,20039
720,Cass County,37994
721,Clark County,116973
722,Clay County,26198
723,Clinton County,32317
724,Crawford County,10566
725,Daviess County,33113
726,Dearborn County,49741
727,Decatur County,26737
728,DeKalb County,42836
729,Delaware County,115184
730,Dubois County,42558
731,Elkhart County,205032
732,Fayette County,23209
733,Floyd County,77071
734,Fountain County,16505
735,Franklin County,22619
736,Fulton County,20059
737,Gibson County,33576
738,Grant County,66491
739,Greene County,32177
740,Hamilton County,323747
741,Hancock County,74985
742,Harrison County,39898
743,Hendricks County,163685
744,Henry County,48476
745,Howard County,82363
746,Huntington County,36337
747,Jackson County,43884
748,Jasper County,33447
749,Jay County,20945
750,Jefferson County,32089
751,Jennings County,27626
752,Johnson County,153897
753,Knox County,37508
754,Kosciusko County,79206
755,LaGrange County,39303
756,Lake County,485640
757,LaPorte County,110029
758,Lawrence County,45666
759,Madison County,129498
760,Marion County,950082
761,Marshall County,46498
762,Martin County,10215
763,Miami County,35845
764,Monroe County,146986
765,Montgomery County,38525
766,Morgan County,69713
767,Newton County,14130
768,Noble County,47452
769,Ohio County,5828
770,Orange County,19426
771,Owen County,20839
772,Parke County,16886
773,Perry County,19081
774,Pike County,12365
775,Porter County,168404
776,Posey County,25595
777,Pulaski County,12534
778,Putnam County,37702
779,Randolph County,24922
780,Ripley County,28442
781,Rush County,16645
782,St. Joseph County,270434
783,Scott County,23870
784,Shelby County,44395
785,Spencer County,20394
786,Starke County,22893
787,Steuben County,34484
788,Sullivan County,20746
789,Switzerland County,10696
790,Tippecanoe County,190587
791,Tipton County,15128
792,Union County,7200
793,Vanderburgh County,181616
794,Vermillion County,15505
795,Vigo County,107516
796,Wabash County,31443
797,Warren County,8201
798,Warrick County,62530
799,Washington County,27827
800,Wayne County,66185
801,Wells County,27984
802,White County,24182
803,Whitley County,33756
805,Adair County,7054
806,Adams County,3686
807,Allamakee County,13884
808,Appanoose County,12352
809,Audubon County,5578
810,Benton County,25642
811,Black Hawk County,132648
812,Boone County,26484
813,Bremer County,24911
814,Buchanan County,21202
815,Buena Vista County,20110
816,Butler County,14606
817,Calhoun County,9746
818,Carroll County,20320
819,Cass County,13145
820,Cedar County,18543
821,Cerro Gordo County,43006
822,Cherokee County,11316
823,Chickasaw County,12005
824,Clarke County,9374
825,Clay County,16170
826,Clayton County,17637
827,Clinton County,47010
828,Crawford County,17056
829,Dallas County,87235
830,Davis County,8966
831,Decatur County,7950
832,Delaware County,17153
833,Des Moines County,39417
834,Dickinson County,17199
835,Dubuque County,97041
836,Emmet County,9432
837,Fayette County,19796
838,Floyd County,15744
839,Franklin County,10164
840,Fremont County,6948
841,Greene County,8981
842,Grundy County,12333
843,Guthrie County,10670
844,Hamilton County,15115
845,Hancock County,10771
846,Hardin County,17048
847,Harrison County,14136
848,Henry County,19863
849,Howard County,9228
850,Humboldt County,9564
851,Ida County,6865
852,Iowa County,16103
853,Jackson County,19366
854,Jasper County,36966
855,Jefferson County,18422
856,Johnson County,149210
857,Jones County,20536
858,Keokuk County,10153
859,Kossuth County,14999
860,Lee County,34295
861,Linn County,224115
862,Louisa County,11184
863,Lucas County,8534
864,Lyon County,11792
865,Madison County,16013
866,Mahaska County,22235
867,Marion County,33105
868,Marshall County,40288
869,Mills County,15068
870,Mitchell County,10631
871,Monona County,8740
872,Monroe County,7845
873,Montgomery County,10137
874,Muscatine County,42880
875,O'Brien County,13801
876,Osceola County,6045
877,Page County,15224
878,Palo Alto County,9092
879,Plymouth County,25220
880,Pocahontas County,6846
881,Polk County,481830
882,Pottawattamie County,93386
883,Poweshiek County,18314
884,Ringgold County,5034
885,Sac County,9817
886,Scott County,172509
887,Shelby County,11628
888,Sioux County,34860
889,Story County,97502
890,Tama County,17058
891,Taylor County,6178
892,Union County,12450
893,Van Buren County,7157
894,Wapello County,35044
895,Warren County,50163
896,Washington County,22281
897,Wayne County,6476
898,Webster County,36605
899,Winnebago County,10587
900,Winneshiek County,20201
901,Woodbury County,102429
902,Worth County,7469
903,Wright County,12784
905,Allen County,12519
906,Anderson County,7833
907,Atchison County,16332
908,Barber County,4586
909,Barton County,26476
910,Bourbon County,14754
911,Brown County,9641
912,Butler County,66878
913,Chase County,2683
914,Chautauqua County,3363
915,Cherokee County,20115
916,Cheyenne County,2683
917,Clark County,2004
918,Clay County,7958
919,Cloud County,8991
920,Coffey County,8224
921,Comanche County,1790
922,Cowley County,35361
923,Crawford County,39034
924,Decatur County,2885
925,Dickinson County,18902
926,Doniphan County,7727
927,Douglas County,120793
928,Edwards County,2893
929,Elk County,2498
930,Ellis County,28689
931,Ellsworth County,6330
932,Finney County,37084
933,Ford County,34381
934,Franklin County,25733
935,Geary County,33855
936,Gove County,2631
937,Graham County,2495
938,Grant County,7526
939,Gray County,5958
940,Greeley County,1249
941,Greenwood County,6123
942,Hamilton County,2640
943,Harper County,5590
944,Harvey County,34544
945,Haskell County,4053
946,Hodgeman County,1842
947,Jackson County,13318
948,Jefferson County,18998
949,Jewell County,2850
950,Johnson County,591178
951,Kearny County,3960
952,Kingman County,7360
953,Kiowa County,2485
954,Labette County,20145
955,Lane County,1559
956,Leavenworth County,81095
957,Lincoln County,3043
958,Linn County,9726
959,Logan County,2821
960,Lyon County,33392
961,McPherson County,28708
962,Marion County,11986
963,Marshall County,9745
964,Meade County,4303
965,Miami County,33461
966,Mitchell County,6128
967,Montgomery County,32556
968,Morris County,5455
969,Morton County,2740
970,Nemaha County,10118
971,Neosho County,16015
972,Ness County,2869
973,Norton County,5441
974,Osage County,15772
975,Osborne County,3610
976,Ottawa County,5863
977,Pawnee County,6680
978,Phillips County,5370
979,Pottawatomie County,23908
980,Pratt County,9547
981,Rawlins County,2497
982,Reno County,62510
983,Republic County,4691
984,Rice County,9660
985,Riley County,74172
986,Rooks County,5043
987,Rush County,3103
988,Russell County,6915
989,Saline County,54734
990,Scott County,4961
991,Sedgwick County,513687
992,Seward County,22159
993,Shawnee County,178187
994,Sheridan County,2527
995,Sherman County,5930
996,Smith County,3668
997,Stafford County,4207
998,Stanton County,2060
999,Stevens County,5612
1000,Sumner County,23159
1001,Thomas County,7788
1002,Trego County,2884
1003,Wabaunsee County,6874
1004,Wallace County,1524
1005,Washington County,5485
1006,Wichita County,2125
1007,Wilson County,8675
1008,Woodson County,3147
1009,Wyandotte County,165288
1011,Adair County,19485
1012,Allen County,20933
1013,Anderson County,22544
1014,Ballard County,8039
1015,Barren County,43801
1016,Bath County,12378
1017,Bell County,26894
1018,Boone County,130728
1019,Bourbon County,20029
1020,Boyd County,47979
1021,Boyle County,29924
1022,Bracken County,8267
1023,Breathitt County,12946
1024,Breckinridge County,20111
1025,Bullitt County,80246
1026,Butler County,12831
1027,Caldwell County,12639
1028,Calloway County,38919
1029,Campbell County,92488
1030,Carlisle County,4846
1031,Carroll County,10713
1032,Carter County,27144
1033,Casey County,15750
1034,Christian County,70416
1035,Clark County,36046
1036,Clay County,20366
1037,Clinton County,10276
1038,Crittenden County,9084
1039,Cumberland County,6706
1040,Daviess County,100374
1041,Edmonson County,12226
1042,Elliott County,7523
1043,Estill County,14277
1044,Fayette County,321959
1045,Fleming County,14446
1046,Floyd County,36271
1047,Franklin County,50485
1048,Fulton County,6192
1049,Gallatin County,8776
1050,Garrard County,17523
1051,Grant County,24984
1052,Graves County,37121
1053,Grayson County,26358
1054,Green County,11065
1055,Greenup County,35518
1056,Hancock County,8801
1057,Hardin County,108071
1058,Harlan County,26713
1059,Harrison County,18781
1060,Hart County,18757
1061,Henderson County,45928
1062,Henry County,16006
1063,Hickman County,4520
1064,Hopkins County,45547
1065,Jackson County,13431
1066,Jefferson County,771158
1067,Jessamine County,53375
1068,Johnson County,22594
1069,Kenton County,165399
1070,Knott County,15291
1071,Knox County,31227
1072,Larue County,14205
1073,Laurel County,60174
